quechua,english
moqo wasa,hunch back
Mormompa Libron,Book of Mormon
mormon,mormon
morq'o,"ball, round object"
morq'oyapuy,to make numb
mosoj,new
Mosoj Testamento,New Testament
mosoj wata,new year
mosojchay,to make new
mosojmanta,"again, newly"
mosojyay,to become new
mosqoy,"dream, to dream"
muchi,"sore on the face, acne"
muchuy,to suffer
much'ay,to kiss
much'u,back part of the neck
muchhay,to take grain off the corn cob
muchhu,little lamb without horns; (the author's Quechua name - Elder Muchhu)
mujerña,"mature young woman, grown up, now a woman (sp.)"
muju,seed
muk'uy,to make alcoholic beverage from corn dough and saliva (usually drunk in a turu)
mulistay,to bother (sp.)
mulli,type of tree
munakuy,to love
munapayay,to covet
munay,"to want, to desire"
muña,sweet smelling sage brush
muru,woman after her hair has been cut
muruy,to cut or break off the tip of something to cut off the top of trees; to give a haircut
muskiy,to smell
musk'a,livestock feeding bowl made of stone or wood
muspay,to be disoriented
musqoy,to dream; dream
mutiya,small bush with podded fruit
mut'i,boiled grain
mut'iy,to boil grain
muthu,dull (knife)
muthuchay,to make dull
mut'uy,to blossom; to sprout; to break forth
muyoj wayra,whirlwind
muyuy,to go around; surrounding area
na,"uh (recourse word used while thinking, to stall)"
nacechiy,"to bear, to give birth (sp.)"
nacekuy,to be born (sp.)
naday,to swim (sp.)
nanachiy,to make hurt
nanay,to hurt; pain
napaykuy,to greet
naranja,orange (sp.)
naru,little yellow bell-shaped flower
ni,no (sp.)
ni jayk'aj,never
ni pi,no-one
nina,fire
nina nina,little firefly
ninakuy,to consult; to equal
ninri,ear
ninrichay,to deafen
niwa,parasitic insect that invades the feet or hands of its human host
niy,to say
noqa,"I, also ñoqa"
noqanchis,"we (inclusive of person spoken to), also ñoqanchis"
noqayku,"we (exclusive of person spoken to), also ñoqayku"
no se,I don't know (sp.)
nubiemri,November (sp.)
ña,"now, already"
ñach'aj,sound of hitting the head
ñach'akuy,to comb the hair
ñakurutu,little green grasshopper
ñak'arichiy,"to cause pain, to make suffer"
ñak'ariy,"to suffer, to hurt"
ñak'ay,barely
ñan,"road, path, trail"
ñaña,sister's sister
ñañu,"narrow, thin"
ñapis,ready; good
ñaqha,just a moment ago
ñawi,eye
ñawi qara,eyelid
ñawi qechera,eyelashes
ñawi yana,pupil
ñawisapa,big eyed
ñawpachiy,"to advance, to move forward"
ñawpaj,first
Ñawpaj Testamento,Old Testament
ñawpaqe,front
ñawpay,"to lead, to go before"
ñit'iy,to squeeze
ñoqa,"I, also noqa"
ñoqa wiña,my age
ñoqanchis,"we (inclusive of person spoken to), also noqanchis"
ñoqayku,"we (exclusive of person spoken to), also noqayku"
ñujch'u,plant with yellow leaves and fruit
ñujtun,brain
ñuku,one armed
ñuñu,female breast
ñuñuchiy,to breast feed
ñuñuña,berry plant with purple flowers
ñuñuy,to breast feed
ñust'a,"princess; country woman, girl"
ñusuy,to snort
ñut'u,ground up food
ñut'uy,"to grind up food; to flatter, knead bread"
onqosqa,sick
onqoy,sickness; to be sick
onqoykuy,to be sick
oqa,potato-like plant
oqe,"grey, ash colored"
oqoti,anus
oqotikuy,sickness involving the anus
oqoy,to swallow
oqhariy,"to lift, to raise up"
oray,to pray (sp.)
orqo,"hill, mountain"
orqo sunkha,plant that hangs from rocks like a beard
orqhoy,"to take out, to extract"
pacha,"earth, world; time"
pachaj,one hundred
Pacha Mama,"native goddess ""Mother Earth"""
pajchiri,waterfall
pajtataj,warning to be careful
pakakuy,to hide oneself
pakasqa,hidden
pakay,to hide
palabra,word (sp.)
pali papa,type of potato
paltay,to put a second load on top of the first (as on a burro)
pallay,"to gather, to harvest, design in a weaving"
pallqa,"forked, branched"
pallta,avocado
pampa,ground; plain
pampachay,"to forgive, (lit.) to make level"
pantachiy,"to confuse, to mislead"
pantay,to be wrong
panti,"reddish, violet color"
panteon,cemetery (sp.)
paña,right (side)
papa,potato
papa imilla,"round, white potato"
papa lisa,type of potato
papa runa,"long, thin, yellow potato"
papaya,papaya
paqarin,"dawn, morning hours"
para,rain
paray,to rain
parlay,to talk
parrillada,food eaten on May day (falso conejo)
pasay,to pass through (sp.)
pasayta,after (sp.)
paseay,"to walk around, to travel around (sp.)"
paskay,to let loose
patron,boss; owner of the hacienda
pawchi,'there isn't any'
pawi,"darkness, confusion"
pawikuy,to be confused
pay,"he, she; him, her"
paykuna,they; them
payla,frying pan
pepas,marbles
pero,but (sp.)
perqa,wall
perqay,to make a wall
pi,who?
pichana,broom
pichay,to sweep
piensay,to think (sp.)
pijchuy,to chew kuka
pikaltultu,little green frog
piki,flea
pili,duck
pilpintu,butterfly
pillu,crown; flowers or food worn as a band on a hat
pinkillu,musical instrument (flute)
pintay,to paint (sp.)
piru,but (sp.)
pirwa,"barn, shack used to store food"
pisi,a little
pisi ninriyoj,hard of hearing
pisi ñawiyoj,not able to read well
pisipayay,to lack
pista,paved strip; airport
pitay,to smoke (cigarrette)
pitu,polverized grain
pituy,to eat pitu
platano,banana (sp.)
pobre,"poor (sp.), also wajcha, also mana kapuyniyoj"
pobreyay,to become poor (sp.)
pojchiy,to throw chuwi in a game
pojtuy,a double handful
pollera,pleated skirt worn by cholitas (sp.)
poncho,poncho
poqochiy,to raise crops
poqoy,"to grow, to mature"
Potosí,"PotosÍ, capital city of colonial South America"
predicay,to preach
primo hermano,first cousin
profeta,"prophet, also sut'inchaj"
profetizay,"to prophesy, also sut'inchay"
puchoj,left overs
puchuy,"to be overabundant, to be left over"
pujllapaya,"to tease, to annoy"
pujllay,to play; Carnival
pujyu,spring; well; fountain
puka,red
pulla pulla,5 petaled flower that sprouts without leaves
pulltiy,to sink
puna,"elevated, cold plain; name of town near Betanzos"
punkisqa,swollen
punkiy,to swell
punku,door; Indian who worked for the patron
Punpuri,village north of PotosÍ where believers crawl around the cemetery at midnight hoping to be healed by the local Saint
puñu siki,person who sleeps a lot
puñuchiy,to put to sleep
puñuna,bed
puñuy,to sleep
puñuy atiy,to be sleepy; puñuy atiwan
puñuysapa,"sleepy, drowsy"
puñuywan atichikuy,to yawn
pupu,bellybutton
puraj,both
puraj uya,"hypocrite, lit. double faced"
purajmanta,together
puririy,"to embark, to begin a journey"
puriy,to walk
puriykachay,to walk around
puriysiy,to help walk
purutu,bean
pusaj,"eight; leader, guide"
pusay,"to lead, to guide"
pututu,sea shell or cow horn trumpet
puywan,animal heart
p'acha,"clothes, clothing"
p'achachakuy,"to dress onesself, to get dressed"
p'achallikuy,"to dress onesself, to change clothes"
p'achalliy,to dress another person
p'ajla,bald
p'ajpaku,vagabond (magician?)
p'akikoj,"fragile, breakable"
p'akisqa,broken
p'akiy,to break
p'allta,flat
p'amparay,"to dig up, to unearth"
p'ampay,to bury
p'api,damp; fresh
p'arpay,"to flatten, to plane"
p'aspa,"dry, rough skin from heat and cold"
p'aspay,"to chap, to dry out"
p'enqakuy,to be ashamed
p'enqay,shame
p'isaqa,partridge
p'isqeyay,to scare off birds
p'isqo,bird
p'itay,to knit
p'itiy,"to break, pull apart"
p'uku,deep bowl
p'ulqo,baby boots made from yarn
p'ultiy,to splash
p'un,sound of hitting something
p'unchay,day
p'uñu,really big container used for alcohol or water
P'utujsi,old name of Potosí; rumbling
p'uytukun,type of pitcher
phajchay,"to overflow, to flood"
phallpa,toothless
phancha,"full, open (like a blossomed flower)"
phanchay,"to burst open, to open up"
phara simi,dry lips
phasakana,fruit of the ulala cactus
phasku,cold sore
phata,"very small amount of money, a pittance"
phatay,to blow upphaway to fly
phichilu,penis
phichitanka,"small person, also t'una runa"
philli,hair on the body
phina,"underground storage of vegetables, root cellar"
phinkiy,to jump
phiña,"mad, angry, upset"
phiñakuy,"to get mad, to become angry, to become upset"
phiñasqa,"mad, angry, upset"
phiri,type of food made from ground kinua
phiriy,to shatter; to make phiri
phiruru,small wooden disk portion of the phuskha
phiskuy,to clean lightly
phisqha,five
p'ujru,"holey, holed"
phukuchu,bladder
phukuy,to blow
phullu,blanket
phuñi,corn hair
phurmuy,"to overflow, to brim over while boiling; to hold back, to dam"
phuru,feather
phuskha,instrument used to spin wool into yarn
phuskhay,to use the phuskha to make yarn
phusulla,blister
phutikuy,to be sad
phutisqa,sad
phutuniriy,to pass gas with a bad odor
phutunku,hole in the ground
phuyu,cloud
qalincha,"giggly, bothersome girl"
qallariy,"beginning; to start, to begin"
qallu,tongue
qan,you
qan wiña,your age
qanchis,seven
qankuna,you (pl.)
qaqa,cliff
qara,"hide, leather, skin"
qara simi,"dry, chapped lips"
qarachiykuy,to scab
qaray,to serve food
qarpay,to irrigate
qarqanchu,type of big scavenger bird
qasa,cold
qasay,to be cold
qawchi,the sound of a donkey
qawiy,to dry plants in the sun
qayara,plant like Isabela but smaller
qaylla,close
qayllay,to come close
qayna,yesterday
qayna wata,last year
qaynimpa,"day before yesterday, a few days ago"
qaynimp'unchay,day before yesterday
qaywiy,to stir
qelqeri,"know it all, argumentative person"
qelqey,"to write, also escribiy"
qena,flute
qesachay,"to despise, to treat badly"
qeweña,type of sagebrush
qola warmi,prostitute
qollpa,salty
qollqe,money; silver
qollqe sonqo,miser
qonqay,to forget
qonqoriy,to kneel
qopuy,"to bring back, to return"
qoqawi,afternoon meal for a trip
qorawiyay,to mold
qori,gold
qosa,husband
qosiyachiy,to weaken the sight
qospay,to roll over and over
qowi,guinea pig; rabbit
qoy,to give
Qoypasi,place located above Konapaya
q'achiy,to cut (as into a potato when digging)
q'achu,barley
q'ala,naked
q'ala alqo,bald dog
q'ala chaki,barefoot
q'alitu,all
q'altuy,"to chew over and over, to ruminate"
q'allpiy,"to squeeze with the hands, to strangle"
q'alluy,to cut up (with a knife)
q'apay,"odor; to smell, to give off an odor"
q'apiriy,to shake hands
q'apiy,to squeeze with the hand
q'ara llant'a,type of rubbery stemmed plant
q'ararenqa,black bird with a partly white tail; if this bird sings near you it is bad luck
q'asa,"chip, chipped"
q'aspa,wheat bread; Pablo Quekaño's neighbor
q'aya,tomorrow
q'ayma,tasteless
q'aytu,"yarn, thread"
q'echa,diarrhea
q'echichi,little parrot
q'ela,plant with blue flower; it is used for firewood
q'ellikuy,"to be spoiled, to be discontented"
q'ellinchu,type of bird
q'elliskiri,"spoiled kid, brat"
q'ellu,yellow
q'ellu sara,yellow corn
q'enti,hummingbird
q'entisqa,shrunken
q'entiy,to shrink
q'epi,"bundle, load carried on the back"
q'eshway,to twist
q'eta,"overripe, spoiled"
q'ewa,"coward, homosexual"
q'ewi chupa,scorpion
q'ewiy,to twist
q'eya,pus
q'eyachay,to become infected
q'oa,"sagebrush, incense burned to a virgin or saint"
q'olltin,sound of swallowing
q'olltiy,to gulp
q'olluriy,to lift up the skirt
q'omer,green
q'oncha,rustic oven
q'oñi,warm
q'oñichiy,to warm up
q'opa,garbage
q'orunta,corn cob
q'oruta,testicle
q'osñi,smoke
q'osu,person who doesn't want to eat
q'oyu,bruise
q'oyuyay,to bruise
qhachuni,daughter-in-law
qhajya sara,type of mixed color corn
qhakuy,to clean grains like kinua with the hands
qhallallay,fresh
qhallay,to throw out violently
qhapaj,rich
qhapariy,"to shout, to yell"
Qharachipampa,plain outside of PotosÍ where the airport is located
qhari,"man, male"
qhari warmi,man and wife
qharqoy,"to cast out, to throw out"
qhasi,free; in vain
qhasi mana kaj,"in vain, without reason"
qhasimanta,"in vain, vainly"
qhasqa,rough textured
qhata,the side of a hill
qhatatay,"to pull, to drag"
qhatay,to cover
qhatiy,to follow
qhatiykachay,to persecute
qhatu,market stand
qhawaray,to criticize
qhaway,"to look, to watch"
qhaway ma!,look!
qhayqa,drunk
qhayqayakuy,"to scream, to clamor (drunk)"
qhechunakuy,to fight over the possession of something
qhechuqay,to take down
qhechuy,to take away
qhella,lazy
qhellakuy,to be lazy
qhencha,adulterer
qhenchachakuy,to commit adultery
qhepa,"behind, following, next, after"
qhepan,"next, following"
qhespichiy,"to save, to set free, also salvay"
qhetikuy,to sniff
qhewallu,type of big cactus
qhocha,lake
Qhochapampa,"Cochabamba, literally 'lake plain'"
qholluy,"to cut off, to mutilate"
qholluqayayqhon,the sound of thunder
qhon qhon nimuy,to thunder
qhonchu,"clouded liquid, turbulent"
qhoña,"mucous, snot"
qhora,"weed, plant"
qhorana,hoe
qhoray,to weed
qhorqoy,to snore
qhoya,mine
qhoysu,long pollera like those worn by Aymara women
rak'i,part in the hair
rak'iy,"to distribute, to pass out (Cochabamba)"
rakhu,thick
rakhu ch'unchula,large intestine
rama,branch (sp.)
ranchu,ranch (sp.); name of little village between Tecoya and Guindas Pampas
rantiy,to buy
rasgay,to scratch oneself (sp.)
raspay,to scrape
ratu,"a little while, a minute, a second (sp.)"
rebajay,to discount (sp.)
redepente,"maybe, perhaps (sp.)"
regalay,to give as a gift (sp.)
rejch'akuy,"to seem like, to look like"
rejch'ariy,to wake up
rejsiy,to know; to have seen
relampago,lightning (sp.)
reunion,meeting (sp.)
rikoj,seer
rikuchiy,to show
rikuy,to see
rikhurichiy,"to make appear, to organize"
rikhuriy,to appear
rimay,"to scold, to admonish (but not to the face)"
riparay,to realize
ripuy,to go
rituñay,to sprout
rit'i,snow
rit'iy,to snow
riy,to go
rosado,pink (sp.)
rullanu,musical instrument
rumi,"rock, stone"
rumi sonqo,"hard hearted, cold hearted"
rumiru,sculptor
runa,"person, man"
runa masi,fellow man
runa mikhoj,cannibal
runa simi,"Qhechua, literally man's mouth (Peru)"
runaykachay,to be proud
runtu,egg
ruphay,"heat; to be hot, to burn"
ruthuy,to cut; to harvest crops
ruway,"to do, to make, to create"
sach'a,tree
sach'a sach'a,"stand of trees, forest"
sajmay,"to punch, to hit with the fist"
sajra,"mean, evil, bad"
sajrakuy,to be mean
sajsakuy,"to be full after eating, to be satisfied"
sajsasqa,full
sajta,plate of food with papa lisa
sajwakuy,to masturbate (vulgar)
sajway,to fornicate (vulgar)
samarina p'unchay,"day of rest, Sunday"
Samasa,place between Betanzos and Potosí
samay,to rest
sani papa,type of potato
sankhu,"thick, dense"
sapa,each
sapallu,type of squash
sapaychakuy,to go off alone
saphana,braid of hair
saphi,root
saqa saqa,dandelion
saqerpariy,to abandon
saqey,"to leave alone, to allow"
saq'ampaya,type of potato
sara,corn
sara t'ika,type of re and yellow flowering plant
sarten,frying pan (sp.)
saruy,to step on
sat'ikuy,to enter without permission
sat'iy,to plug in
sayay,"height, stature; steep; to stand up; to behave"
sayk'usqa,"tired, fatigued"
sejsiy,to itch (v. pron.)
senqa,nose
Señorpa cenan,"sacrament, literally the Lord's Supper"
setimri,September (sp.)
seq'oy,"to punish, to whip"
sijrakuy,to brush the hair
sijrana,rustic hair brush made of straw
sika sika,caterpillar
siki,butt; bottom
siki wayllay,to swing the hips
sik'imira,ant
sik'iy,"to uproot, to pull out"
sila sila,"type of bush, chhajlla"
silbay,to whistle (sp.)
silwi khuru,earth worm
sillu,fingernail
simi,mouth
simi punta,lips
simp'ay,to braid
sino,or (sp.)
sinchi,hard
sinruy,to align
sinkay,to break cane with the teeth
sipas,young woman
sipita,type of sagebrush
sipiy,to strangle
sip'uy,"to wrinkle, to pleat"
siray,to sew
siriy,to lie down
sirk'i,wart
sirp'a,type of grasshopper
sirviy,to serve (sp.)
sojta,six
sonqo,heart
sonqo nanay,to feel sad
sonqo pharaqey,to beat (the heart)
sonqota wawachikuy,to become tender (a person)
sonqoyoj,"good, affectionate, heartful"
soqos,cane like bamboo
sonsera,"stupid, foolish action (sp.)"
suchu,crippled
suchuna,"hill, slope"
suchuy,"to scoot, to move over"
suk'umpay,to cover the head
sullk'a,younger
sullu,abortion; animal fetus used by jampiris
sulluy,to abort
sumaj,good
Sumaj Perla,Pearl of Great Price
sumpuña,musical instrument like panpipes
sunch'u,daisy-like flower
Sunch'u,place located down river from Betanzos
sunkha,beard
sunt'iy,to roll over and over
supay,"devil, demon"
supayniyoj,possessed
supi,"flatus, fart"
supiy,to pass gas making a noise
suruy,to run (liquid)
suskhuy,to get under something
susunkay,to grow numb
susunk'iyaykuy,to fall asleep (a part of the body)
suti,name
sutichasqa,named
sutikuy,to be named
sut'i,"clear, visible"
sut'imanta,clearly
sut'inchaj,prophet
sut'inchay,"to explain, to make clear, to prophesy"
sut'iyay,"to dawn, to become clear"
sut'i sonqo,"frank, honest"
sut'u,drop
sut'uy,to drip
suwa,thief
suway,to steal
suyay,"to wait; hope, expectation"
suysuna,sieve
suysuy,to strain
suyu,"district, region"
takay,"to hit, to knock on"
takiy,song; to sing
tanqay,to push
tantakuy,"meeting; to meet, to come together"
tantay,to collect
tapay,"to cover, to put a top on (sp.)"
tapuy,to ask
tarajchi,type of bird
tarday,"to be late, to tarry"
tariy,to find
tarka,"musical instrument, also anata"
tarpuy,"to plant, to sow"
tarpupay,to replant
taruka,type of deer
tata,"father, sir"
tata-mama,parents
tata kura,catholic priest
tataku,"satan, the devil"
tawa,four
tawantinsuyu,the four regions of the earth
tawatawa,"long, narrow scone sold on the street"
tawnakuy,to lean
tawri,type of plant and its seed which is eaten
tawqay,to stack (adobes)
tejtitijray,to turn over; to translate
tikayapuy,to coagulate
tinaja,big earthen jar
tinkuy,"to come together, to meet; annual ceremonial fight held at Macha"
titi ,"lead, lead-colored"
Titiqaqa,"Titicaca, literally lead-colored cliffs"
tiya,aunt (sp.)
tiyakuy,to sit; to reside
tiyana,chair
Tiyawanaku,ancient civilization near Lake Titicaca
tiyo,uncle (sp.)
tocay,to play an instrument (sp.)
tojnu,"cane, walking stick"
tojtoqeyay,to make the sound of a chicken
tomay,to drink (sp.)
trabajay,to work (sp.)
trabajo,"hard, difficult; work (sp.)"
trago,booze (sp.)
trankay,"to bolt, to lock (sp.)"
tratay,to argue (sp.)
tratanakuy,to argue (sp.)
trato,covenant (sp.)
tratochay,to make a covenant (sp.)
trigu,wheat (sp.)
trigu jak'u,wheat flour (sp.)
trupa,"herd, flock (sp.)"
tukuchay,"to make finish, to make end"
tukukuy,"to finish, to end; to become"
tukuy,all
tullma,woman's woven braid ornament
tullqa,son-in-law
tullu,bone; skinny
tullu malkachu,type of potato
tulluskiri,skinny
tumpa,"a little bit, some; type of fruit"
tumpay,to blame
tuna,type of cactus and its fruit
tunqori,throat
tuntiy,to be in the sun a long time
tunu,paralyzed
tunuyay,"to become numb, to become paralyzed"
tupakuy,to bang heads (like rams)
tupu,fastening pin for women's clothing; a measure; marker put on costal
tupuy,to measure
turikuy,to physically resist
turtay,to make a mud roof
turu,bull; wooden bowl used to drink muk'u
turu qara,plant with rope-like bark
tusuy,to dance; dance
tuta,night
tutamanta,morning
tutayay,to become night
tutuma,gourd used to carry water
tuytuy,to float
t'ajlla,palm of the hand
t'ajllay,"to clap, to slap"
t'ajsay,to wash clothes; to wash the hair
t'akay,"to drop, to scatter (like seeds)"
t'anta,bread
t'aqa,"division, herd, fold"
t'aqasqa,separated
t'aqay,"to separate, to set apart"
t'ari,dried blood
t'ejway,"to peel, husk corn"
t'eqe,"plump, full; baby faced"
t'eqey,to stuff (like a pillow)
t'ika,flower
t'ikanchay,"to decorate, to make beautiful"
t'ikay,to flower
t'impuy,to boil
t'inka,"gift, bonus given to workers (usually alcohol)"
t'inkay,"to give a gift, to give a bonus"
t'inkiy,to put together in pairs
t'ipay,to fasten clothing with a pin
t'ipiy,to pull apart
t'iray,"to pull out, to uproot"
t'iri,scar
t'iriy,to mend
t'isay,to pull wool apart preparing it to be spun into yarn
t'isi,"dried mucous, snot, booger"
t'iyu,sand
t'ojlu,skull
t'ojpiy,"to bother, to play where not wanted"
t'ojra,faded
t'ojsiy,to puncture
t'ojyay,to explode
t'oqo,big hole in the ground
t'oqoy,to make a hole in the ground
t'uku,lunatic
t'ukuy,"to meditate, to think deeply; to be astonished"
t'ula,plant with small fibery flowers
t'ullku,tightly spun yarn
T'ullmillki,big mountain near Betanzos
t'una,small
t'una runa,small person
t'una uchu,small green pepper
t'unay,to crush into small pieces
t'uru,mud
t'uruchay,to make mud
t'ustiy,"to step on, to disrupt, to disorganize"
t'utura,reed plant that grows near shore of lakes
thako,pod from the spiny algorrobo tree that has a bitter sweet flavor
thallay,to shake off
thalliy,to empty a bag or container
thanta,"old, used"
thantay,to become old and worn out
thañichiy,"to make calm, to cause to subside"
thañiy,"to calm, subside"
thapa,nest
tharmiy,to stand on the hind legs and kick with the forelegs (horse)
thaskiy,"to walk quickly, to take big steps"
thasnuy,to put out a fire
thaway,"to scratch off, to remove the surface, to dig"
thoqay,to spit
thunikuy,to fall; to come apart
thuniy,"to shatter, to destroy"
thuta,moth
thutuy,"to mutter, to murmur"
uchu,"chile, hot pepper"
uchu uchu,red grasshopper
uj,one
uj iskay palabra,few words
uj jina,different
uj jinachay,"to vary, to be different"
ujllay,"to brood, to cover eggs"
ujtawan,"once again, one more time"
ujut'a,sandals made from old tires
ujyay,to drink
ukhu,body; inside
ukhu pacha,hell
ulala,type of cactus
ullu male,"member, penis"
uma,"head, top"
uma muyuy,to be confused; to be dizzy
uma t'ojpisqa,crazy
umachakuy,to understand
umayoj,intelligent
unay,a long time
unkhu,small poncho
unradu,"honored, truthful, honest, open (sp.)"
untu,animal fat
unu,water (mixed with something else)
uña,baby animal
upa,"mute, dumb"
upiy,"to snort, to slurp"
ura,"below, under"
uray,"slope, hillside"
uraykuchiy,to take down
uraykuy,"to come down, to climb down"
urmay,to fall
usa,louse
usqhay,"quick, fast"
usuri,"wounded, unfortunate, to be pregnant"
ususi,daughter
ususu,lazy person
usuy,to waste
usha,lamb
ushpa,ash
ushpay,to take ash from the fireplace
utiy,to be really tired (v.p.)
utupri,October (sp.)
uya,face
uyariy,"to listen, to hear"
uywa,domestic animal
uyway,to raise animals; to raise children
wachay,to give birth
wach'iy,to sting (like a bee)
waj,"another, other; well!"
wajcha,orphan; poor
wajra,horn
wajta,side of the body
wajtan,rib
wajtay,to hit with an object
wajyay,to call
waka,cow (sp.)
waka punku,"big butt, literally cow gate"
waka waka,type of beetle
wakachu,podded fruit of the churki tree
wakataya,type of plant
wakichiy,to prepare
wakin,some
wakhiyay,to throw out
walej,"fine, good, alright, ok"
walthay,to wrap up a baby
wallawak'u,armpit
wallpa,chicken
wamay,to gather grain from the ground with the hands
wampu,fool
wanaku,animal like the alpaqa
wanchiy,to kill
wanka,type of thorn
wantuy,to carry with two people
wanu,fertilizer
wañuchiy,to kill
wañupuy,to die
wañusqa,dead
wañuy,death; to die
wapu,"strong, brave, macho"
waqachiy,to make cry
waqay,tear; crying; to cry
waqaychay,"to save, to guard"
waqey,to distribute
warak'a,sling
waranqa,thousand; peso
warkhuy,to hang
warmi,woman
warmiyoj,married man
wasa,"back, behind"
wasa tullu,vertebral column
wasanchay,to turn the back on someone
wasaykuy,to go up and over
wasi,"house, building"
wasichay,to build a house
wasiyoj,house owner
waska,rope; spanking
wasu,"grossness, rudeness"
wata,year
watasqa,tied up
watay,to tie up
wataray,to untie
watejmanta,"once more, again"
wateqay,to spy
watiy,"to pound, to beat, to stir"
watu,thin cord
watukuy,"to ask about, to visit"
wat'aqeyay,"to kick about, to wriggle"
wathiya,food baked in a pit in the field during havest
wawa,"baby, child"
wawallikuy,to be pregnant
wawallichiy,to impregnate
wawani,parent of an illegitimate child
wawayoj,parent
wawqe,"brother, also hermano"
wayakan,type of tree
wayaqa,"small woven sack, bag"
wayk'u,cooked
wayk'uy,to cook
waylla mut'iya,type of plant
wayllay,to make a straw roof
waymiy,"to go around, to revolve"
wayna,young man
wayq'o,"small canyon, crevice"
wayra,wind; air
wayra jayt'a,"poor soccer player, literally air kicker"
wayray,to blow (wind)
wayronq'o,bumblebee
wayronq'o misk'i,bee's honey
wayruru,black widow spider; type of red and black seed
wayt'ay,to wallow in the mud
wen dÍa,"good morning, how are you? (sp.)"
wichariy,to climb
wichay,"ascent, incline"
wich'i,wide mouthed container
wich'una,"instrument used to tighten the weave, usually a llama bone"
wijch'uy,to throw out
wijsa,"stomach, womb"
wijsallikuy,to be pregnant
wijsayoj,pregnant
wiltamanta,again (sp.)
willay,"message; to tell, to advise"
wiña,age
wiñay,"always, forever, eternity; to grow"
wiñay trato,everlasting covenant
wiñaypaj,forever
wira,"fat, grease"
wira malkachu,type of potato
Wiraqocha,great white god of the Incas; gentleman; white person
wiraqoche,wiraqocha
wirkhi,type of container
wiru,green corn stalk that is eaten
wisiy,to take water out of its container
wisq'asqa,closed
wisq'ay,to close
wist'u,"crooked, twisted"
wit'uy,"to amputate, to cut off"
yachachej,teacher
yachachiy,"principle, teaching; to teach"
Yachachiykunawan  Tratokunawan,
yachakuy,to learn; to become accustomed to
yachay,"knowledge, wisdom; to know"
yachayniyoj,wise
Yachayniyoj Palabra,Word of Wisdom
yaku,water
yaku phajchay,waterfall
yana,black
yana imilla,type of potato
yananchakuy,to drink the 2d glass of alcohol; to come together in marriage
yanapaj,helper
yanapay,to help
yanayay,to become black
yapa,"addition, increase"
yapay,"to increase, to augment"
yarqhay,"hunger, to be hungry"
yastá,ok (sp.)
yaw,hey!
yawar,blood
yawri,big needle
yaykuy,to enter
yoqalla,boy; town where the Puente del Diablo is located
yuka,plant with edible root
yumay,"to procreate, to reproduce"
yunka,jungle
yunta,two bulls or oxen (sp.)
yunta watay hora,approximately 8:00 a.m.
yunta wataray hora,approximately 4:00 p.m.
yupay,to count
yupaychay,"to honor, to worship"
yuraj,white
yuraj sara,white corn
yuru,type of container
yuthu,partridge
yuyariy,to remember
yuyay,"thought, memory; to think, to remember"
yuyaychaj,counselor
